Player,Player ID,Team,Positions,Status,Injury Type,New Player Note,Game
Charlie Kolar,34084,LAC,TE,O,Forearm,Y,Sun 1:00 pm @ Buf
Demarcus Robinson,29360,SF,WR,O,Ankle,N,Sun 4:05 pm vs Ari
Joe Royer,42772,Cle,TE,NFI-R,Personal,N,Sun 1:00 pm vs Car
Sean Clifford,40173,Cin,QB,NA,,N,Sun 1:00 pm @ Pit
Mitchell Tinsley,40313,Hou,WR,NA,,N,Sun 1:00 pm @ Ind
Adrian Martinez,40299,SF,QB,NA,,N,Sun 4:05 pm vs Ari
Malik Cunningham,40290,Det,WR,NA,,N,Sun 1:00 pm vs NYJ
Ronnie Bell,40279,LV,WR,NA,,N,Sun 4:25 pm @ NO
Kenny McIntosh,40267,Sea,RB,NA,,N,Sun 1:00 pm @ Was
Colton Dowell,40263,SF,WR,NA,,N,Sun 4:05 pm vs Ari
Lew Nichols,40260,Pit,RB,NA,,N,Sun 1:00 pm vs Cin
Zack Kuntz,40255,Dal,TE,NA,,N,Sun 4:25 pm vs Bal
A.T. Perry,40242,Den,WR,NA,,N,Sun 8:20 pm vs LAR
Deuce Vaughn,40240,Hou,RB,NA,,N,Sun 1:00 pm @ Ind
E. Henderson Jr.,42821,Sea,WR,NA,,N,Sun 1:00 pm @ Was
Lewis Bond,42826,Hou,WR,NA,,N,Sun 1:00 pm @ Ind
Tyler Scott,40141,LAR,WR,NA,,N,Sun 8:20 pm @ Den
Evan Hull,40169,Ari,RB,NA,,N,Sun 4:05 pm @ SF
Trey Palmer,40223,NO,WR,NA,,N,Sun 4:25 pm vs LV
Jake Haener,40144,NYG,QB,NA,,N,Sun 1:00 pm vs Ten
Anthony Smith,42840,Dal,WR,NA,,N,Sun 4:25 pm vs Bal
Charlie Jones,40158,NYG,WR,NA,,N,Sun 1:00 pm vs Ten
Ben Sims,40335,Mia,TE,NA,Undisclosed,N,Sun 1:00 pm vs KC
Eric Gray,40198,Cle,RB,NA,,N,Sun 1:00 pm vs Car
Clayton Tune,40188,GB,QB,NA,,N,Thu 8:15 pm vs Atl
Jam Miller,42867,NE,RB,NA,Undisclosed,N,Sun 1:00 pm @ Jax
Israel Abanikanda,40165,Dal,RB,NA,,N,Sun 4:25 pm vs Bal
Jimmy Garoppolo,27590,LAR,QB,NA,,N,Sun 8:20 pm @ Den
B.T. Potter,40321,TB,K,NA,,N,Sun 4:05 pm vs Min
Isaiah Winstead,40466,Pit,WR,NA,,N,Sun 1:00 pm vs Cin
Joel Wilson,40346,Ten,TE,NA,,N,Sun 1:00 pm @ NYG
Jalen Moreno-Cropper,40774,NO,WR,NA,,N,Sun 4:25 pm vs LV
Joe Milton III,41060,Dal,QB,NA,,N,Sun 4:25 pm vs Bal
