Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Tyler Johnson,32831,NYJ,WR,NA,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,105",515,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
K.J. Osborn,32846,Ten,WR,NA,Sun 1:00 pm @ NYG,FA,-,9,0.00,"2,497",521,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Ja'Lynn Polk,40914,NO,WR,NA,Sun 4:25 pm vs LV,FA,-,8,0.00,"2,502","1,167",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Dee Eskridge,33444,Mia,WR,NA,Sun 1:00 pm vs KC,FA,-,6,0.00,"2,744",741,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Calvin Austin III,34094,NYG,WR,IR,Sun 1:00 pm vs Ten,FA,-,8,0.00,"2,051",932,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Mason Kinsey,33351,Ten,WR,NA,Sun 1:00 pm @ NYG,FA,-,9,0.00,"2,734",727,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Erik Ezukanma,34081,Phi,WR,NA,Mon 8:15 pm @ Chi,FA,-,10,0.00,"2,434",921,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Danny Gray,34061,Phi,WR,NA,Mon 8:15 pm @ Chi,FA,-,10,0.00,"2,420",909,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Velus Jones Jr.,34027,Sea,"WR,RB",NA,Sun 1:00 pm @ Was,FA,-,11,0.00,"2,747",890,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Chris Blair,33376,Atl,WR,,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,530",735,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Alec Pierce,34008,Ind,WR,O,Sun 1:00 pm vs Hou,W (Sep 26),-,13,0.00,148,875,77%,-,-,-,-,-,-,-,-,-,-,-,-,-
Terrace Marshall Jr.,33447,Mia,WR,NA,Sun 1:00 pm vs KC,FA,-,6,0.00,"2,524",742,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Montrell Washington,34118,NYG,WR,NA,Sun 1:00 pm vs Ten,FA,-,8,0.00,"2,299",944,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Ihmir Smith-Marsette,33545,Car,WR,NA,Sun 1:00 pm @ Cle,FA,-,5,0.00,"2,620",758,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Simi Fehoko,33567,Ari,WR,,Sun 4:05 pm @ SF,FA,-,14,0.00,"2,779",759,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Cornell Powell,33569,Pit,WR,NA,Sun 1:00 pm vs Cin,FA,-,9,0.00,"2,339",760,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Michael Bandy,33928,Den,WR,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,490",837,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
