player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,roster_status,gp,bye,fan_pts,rank_preseason,rank_actual,pct_rostered,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,tgt,rec,rec_yds,rec_td,ret_td,two_pt,fum_lost,source_file
Stetson Bennett IV,QB,QB,LAR,,NYG,home,Mon 8:15 pm,FA,1,11,1.42,2868,297,0,13,0,0,1,9,0,0,0,0,0,0,0,0,qb.txt
Kyler Murray,QB,QB,Min,Q,Chi,away,Sun 1:00 pm,Locked In Michelle,1,6,0.62,119,327,69,18,0,1,2,9,0,0,0,0,0,0,0,0,qb.txt
Sam Darnold,QB,QB,Sea,O,Ari,away,Sun 4:25 pm,Monday Night Madison,1,11,0.52,156,330,32,13,0,0,0,0,0,0,0,0,0,0,0,0,qb.txt
Ken Seals,QB,QB,KC,NA,Ind,home,Sun 8:20 pm,FA,,5,0.00,2828,404,0,,,,,,,,,,,,,,qb.txt
Spencer Rattler,QB,QB,NO,,Bal,away,Sun 1:00 pm,FA,,8,0.00,2288,388,0,,,,,,,,,,,,,,qb.txt
Jacob Clark,QB,QB,LV,NA,LAC,away,Sun 4:05 pm,FA,,13,0.00,2830,416,0,,,,,,,,,,,,,,qb.txt
Dillon Gabriel,QB,QB,Cle,IR-R,TB,away,Sun 1:00 pm,FA,,11,0.00,2801,661,0,,,,,,,,,,,,,,qb.txt
Shedeur Sanders,QB,QB,Cle,,TB,away,Sun 1:00 pm,FA,,11,0.00,305,681,2,,,,,,,,,,,,,,qb.txt
Jalen Milroe,QB,QB,Sea,,Ari,away,Sun 4:25 pm,FA,,11,0.00,2887,666,0,,,,,,,,,,,,,,qb.txt
Graham Mertz,QB,QB,Hou,IR,Cin,home,Sun 1:00 pm,FA,,8,0.00,2844,695,0,,,,,,,,,,,,,,qb.txt
Jake Retzlaff,QB,QB,Sea,NA,Ari,away,Sun 4:25 pm,FA,,11,0.00,2812,1185,0,,,,,,,,,,,,,,qb.txt
Joe Fagnano,QB,QB,Bal,,NO,home,Sun 1:00 pm,FA,,13,0.00,2827,1184,0,,,,,,,,,,,,,,qb.txt
Cam Miller,QB,QB,Mia,NA,SF,away,Sun 4:25 pm,FA,,6,0.00,2858,690,0,,,,,,,,,,,,,,qb.txt
Riley Leonard,QB,QB,Ind,,KC,away,Sun 8:20 pm,FA,,13,0.00,2869,691,0,,,,,,,,,,,,,,qb.txt
Kyle McCord,QB,QB,Mia,,SF,away,Sun 4:25 pm,FA,,6,0.00,2813,693,0,,,,,,,,,,,,,,qb.txt
Will Howard,QB,QB,Pit,,NE,away,Sun 1:00 pm,FA,,9,0.00,2814,698,0,,,,,,,,,,,,,,qb.txt
Carter Bradley,QB,QB,Jax,NA,Den,away,Sun 4:05 pm,FA,,7,0.00,2821,450,0,,,,,,,,,,,,,,qb.txt
Derrick Henry,RB,RB,Bal,,NO,home,Sun 1:00 pm,JGrahnasaurs,1,13,34.80,15,3,100,0,0,0,24,144,3,1,1,19,0,0,0,0,rb.txt
Kenneth Walker,RB,RB,KC,,Ind,home,Sun 8:20 pm,Max’s TD Bombers,1,5,32.60,11,4,100,0,0,0,23,173,1,6,3,18,1,0,0,0,rb.txt
D'Andre Swift,RB,RB,Chi,Q,Min,home,Sun 1:00 pm,Owl Out Blitz,1,10,31.90,42,6,98,0,0,0,18,124,3,1,1,10,0,0,0,0,rb.txt
Jahmyr Gibbs,RB,RB,Det,,Buf,away,Thu 8:15 pm,Locked In Michelle,1,6,31.10,1,7,100,0,0,0,29,156,2,5,5,30,0,0,0,1,rb.txt
Ashton Jeanty,RB,RB,LV,,LAC,away,Sun 4:05 pm,Max’s TD Bombers,1,13,29.70,21,9,100,0,0,0,23,102,0,6,6,45,2,0,0,0,rb.txt
David Montgomery,RB,RB,Hou,,Cin,home,Sun 1:00 pm,Maybe Mitchell,1,8,27.40,57,11,98,0,0,0,20,60,2,3,3,19,1,0,0,0,rb.txt
Bijan Robinson,RB,RB,Atl,,Car,home,Sun 1:00 pm,Bone Crushers,1,11,27.30,2,12,100,0,0,0,21,83,0,10,8,90,1,0,0,0,rb.txt
